query,ground_truth_title,TRUE,FALSE
"Can you describe Creativity Street Plain Plastic Feminine Mask,white - 4201?","Creativity Street Plain Plastic Feminine Mask,white - 4201",,
"What is Crayola Sea Animals Wood Puzzle & Stamps, Educational Toy, Gift for Toddlers, 10Piece used for?","Crayola Sea Animals Wood Puzzle & Stamps, Educational Toy, Gift for Toddlers, 10Piece",,
Is Air Hogs - Heli Cage - Yellow a good product?,Air Hogs - Heli Cage - Yellow,,
What's the price and brand of 3DLightFX Star Wars Boba Fett 3D Deco Light?,3DLightFX Star Wars Boba Fett 3D Deco Light,,
Tell me about Steve Jackson Games Zombie Dice Horde Edition.,Steve Jackson Games Zombie Dice Horde Edition,,
"Do you have more info on Steiff Starly Dangling Unicorn Plush, White?","Steiff Starly Dangling Unicorn Plush, White",,
Can you show me details about SwimWays Disney Princess Ariel Mermaid Tail Swim Fins?,SwimWays Disney Princess Ariel Mermaid Tail Swim Fins,,
"What is Posterazzi PSTZAB100061M British Royal Commando in Action Photo Print, 11 x 17, Multi used for?","Posterazzi PSTZAB100061M British Royal Commando in Action Photo Print, 11 x 17, Multi",,
"Can you describe Amscam 129877 Soccer Plastic Pennant, 12' Banner, Multicolor?","Amscam 129877 Soccer Plastic Pennant, 12' Banner, Multicolor",,
"What is Celestron Kids Let Your Child Explore The World Telescope, Green (44111) used for?","Celestron Kids Let Your Child Explore The World Telescope, Green (44111)",,
"Is Educational Insights Design & Drill See-Through Creative Workshop - Drill Toy, STEM & Construction, Building Toy a good product?","Educational Insights Design & Drill See-Through Creative Workshop - Drill Toy, STEM & Construction, Building Toy",,
How much does Carson MagniCard 3x LED Lighted Magnifier (MC-99) cost?,Carson MagniCard 3x LED Lighted Magnifier (MC-99),,
Is Melissa & Doug Scratch Art 2-Pack: Mini Rainbow Notes (Box of 125) and Doodle Pad (16 Pages) a good product?,Melissa & Doug Scratch Art 2-Pack: Mini Rainbow Notes (Box of 125) and Doodle Pad (16 Pages),,
"What are the features of Premier Energizer Car Charger Adapter with Android Type-C, Micro USB, or Apple Lightning Cable Connector?","Premier Energizer Car Charger Adapter with Android Type-C, Micro USB, or Apple Lightning Cable Connector",,
"Is Paw Patrol Chase's Spy Cruiser, Vehicle and Figure a good product?","Paw Patrol Chase's Spy Cruiser, Vehicle and Figure",,
Can you show me details about Melissa & Doug Jumbo ABC Wooden Chunky Puzzle (26 pcs)?,Melissa & Doug Jumbo ABC Wooden Chunky Puzzle (26 pcs),,
"I'd like to know more about Tileblox Inspire 60 Piece Set Magnetic Building Blocks, Educational Magnetic Tiles Kit , Magnetic Construction STEM Toy Set.","Tileblox Inspire 60 Piece Set Magnetic Building Blocks, Educational Magnetic Tiles Kit , Magnetic Construction STEM Toy Set",,
"I'd like to know more about Pioneer Balloon Company 11257 Party Balloons, 11"", Jewel Magenta.","Pioneer Balloon Company 11257 Party Balloons, 11"", Jewel Magenta",,
Do you have more info on Assorted Super Hero Comic Book Design Super Hi High Bounce Rubber Balls (12)?,Assorted Super Hero Comic Book Design Super Hi High Bounce Rubber Balls (12),,
What's the price and brand of Swagtron Swagboard Outlaw T6 Off-Road Hoverboard?,Swagtron Swagboard Outlaw T6 Off-Road Hoverboard,,
What is Huina 2.4Ghz Radio Control Alloy 6 Channel 4 Wheel Excavator Remote Control High Simulation Truck used for?,Huina 2.4Ghz Radio Control Alloy 6 Channel 4 Wheel Excavator Remote Control High Simulation Truck,,
I'd like to know more about DC Collectibles DC Designer Series: Green Lantern by Ivan Reis Resin Statue.,DC Collectibles DC Designer Series: Green Lantern by Ivan Reis Resin Statue,,
I'd like to know more about Playskool Friends Sesame Street Bean Bag Buddies Cookie Monster Plush.,Playskool Friends Sesame Street Bean Bag Buddies Cookie Monster Plush,,
"What's the price and brand of EuroGraphics Surfer's Paradise, Hawaii Puzzle (1000-Piece)?","EuroGraphics Surfer's Paradise, Hawaii Puzzle (1000-Piece)",,
"How much does Lionel Racing, Clint Bowyer, Toco Warranty, 2019, Ford Mustang, NASCAR Diecast 1: 64 Scale cost?","Lionel Racing, Clint Bowyer, Toco Warranty, 2019, Ford Mustang, NASCAR Diecast 1: 64 Scale",,
What are the features of Rose Art Ghostbusters Test Tube Slime Blind Pack?,Rose Art Ghostbusters Test Tube Slime Blind Pack,,
Can you describe Mastermind for Kids -- Codebreaking Game Plays on Three Levels?,Mastermind for Kids -- Codebreaking Game Plays on Three Levels,,
"I'd like to know more about E-flite 70-Amp Switch Mode BEC Brushless ESC with EC3, EFLA1070.","E-flite 70-Amp Switch Mode BEC Brushless ESC with EC3, EFLA1070",,
Can you describe Retro Series Clue 1986 Edition Game?,Retro Series Clue 1986 Edition Game,,
What is Badger Basket Cruise Twin Folding Inline Double Doll Stroller (fits American Girl Dolls) used for?,Badger Basket Cruise Twin Folding Inline Double Doll Stroller (fits American Girl Dolls),,
Is Buffalo Games - Chuck Pinson - Brookside Retreat - 1000 Piece Jigsaw Puzzle a good product?,Buffalo Games - Chuck Pinson - Brookside Retreat - 1000 Piece Jigsaw Puzzle,,
Do you have more info on Keith Kimberlin Puppies Sticker Flip Pack.?,Keith Kimberlin Puppies Sticker Flip Pack.,,
"I'd like to know more about Hauck 21Piece Doll Care Set with Stroller, High Chair, Play Yd & More.","Hauck 21Piece Doll Care Set with Stroller, High Chair, Play Yd & More",,
"I'd like to know more about MightySkins Skin Compatible with Swagtron T5 Hover Board â€?Deco Fish | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA.","MightySkins Skin Compatible with Swagtron T5 Hover Board â€?Deco Fish | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA",,
"Tell me about Roller Derby Roller Star Women's Roller Skates, 9, White/Purple/Blue.","Roller Derby Roller Star Women's Roller Skates, 9, White/Purple/Blue",,
